media_type, title, status, release_date, episode_count
"1", "2/7: Boku wa Sonzai Shiteinakatt", "UNKNOWN", "2017-01-01", "1"
"1", "2/7: Nani mo Shite Agerarena", "UNKNOWN", "2019-01-01", "1"
"1", "2/7: Rikai-sh", "UNKNOWN", "2018-01-01", "1"
"1", "2/7: Shampoo no Nioi ga Shit", "UNKNOWN", "2018-01-01", "1"
"1", "3.exe: Feel so goo", "UNKNOWN", "2018-01-01", "1"
"1", "3.exe: M1K", "UNKNOWN", "2017-01-01", "1"
"1", "3.exe: ochatim", "UNKNOWN", "2020-01-01", "1"
"1", "4", "FINISHED", "2010-07-01", "9"
"1", "5-sai no Joshikouse", "FINISHED", "2018-01-01", "12"
"1", "5-sai no Joshikousei: Kodomo ni wa Oshierarenai Koto Shite Yaru y", "FINISHED", "2018-01-01", "12"
"1", "x", "FINISHED", "1998-01-01", "2"
"1", " Choume no Tama: Onegai! Momo-chan wo Sagashite!", "FINISHED", "1993-07-01", "1"
"1", " Choume no Tama: Uchi no Tama Shirimasen ka", "FINISHED", "1988-10-01", "36"
"1", " Choume no Tama: Uchi no Tama Shirimasenka", "FINISHED", "1993-07-01", "35"
"1", "-bu de Wakaru Koizumi Yakumo no Kaida", "FINISHED", "2014-04-01", "7"
"1", "-Choume no Tama: Uchi no Tama Shirimasenka", "FINISHED", "1993-07-01", "3"
"1", "-Choume no Tama: Uchi no Tama Shirimasenka? (1994", "FINISHED", "1994-04-01", "26"
"1", "-D Heave", "FINISHED", "1988-10-01", "1"
"1", "-D Tengok", "FINISHED", "1988-10-01", "1"
"1", "-gatsu no Lio", "FINISHED", "2016-10-01", "22"
"1", "-gatsu no Lion 2nd Seaso", "FINISHED", "2017-10-01", "22"
"1", "-gatsu no Lion meets Bump of Chicke", "FINISHED", "2014-10-01", "1"
"1", "-gatsu no Lion Reca", "FINISHED", "2016-10-01", "1"
"1", "-gatsu no Lion: Ugoku! Nya Shog", "FINISHED", "2017-01-01", "10"
"1", "-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukak", "FINISHED", "2013-01-01", "1"
"1", "-Nen D-Gumi Glass no Kame", "FINISHED", "2016-10-01", "13"
"1", "-nen D-Gumi Glass no Kamen: Tobidase Watashitachi no Victory Roa", "FINISHED", "2017-07-01", "1"
"1", "-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Roa", "FINISHED", "2017-07-01", "1"
"1", "-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no V", "FINISHED", "2017-07-01", "1"
"1", "-pun de Wakaru! Kore made no Love Live", "FINISHED", "2015-04-01", "1"
"1", "-pun de Wakaru! Kore made no Love Live! Sunshine!", "FINISHED", "2018-10-01", "1"
"1", "-tsu no Hanash", "FINISHED", "1960-01-01", "1"
"1", "-tsu no Kum", "FINISHED", "2005-07-01", "3"
"1", "0-pun de Wakaru! Kore made no Love Live", "FINISHED", "2015-04-01", "2"
"1", "0-pun de Wakaru! Kore made no Love Live! Sunshine!", "FINISHED", "2018-10-01", "2"
"1", "0-sai no Hoken Taiik", "FINISHED", "2011-04-01", "12"
"1", "0-sai no Hoken Taiiku Special", "FINISHED", "2011-07-01", "3"
"1", "00 En no Otsukiai Anime Editio", "FINISHED", "2016-07-01", "1"
"1", "000 Leagues in Search of Mother (2000", "UNKNOWN", "2000-01-01", "1"
"1", "000 Leagues in Search of Mother Movi", "UNKNOWN", "1980-01-01", "1"
"1", "000 Leagues in Search of Mother Special", "UNKNOWN", "2001-01-01", "2"
"1", "0th Gundam Perfect Missio", "FINISHED", "2009-07-01", "1"
"1", "65-nichi no Love Son", "FINISHED", "2011-01-01", "1"
"1", "", "FINISHED", "2012-07-01", "1"
"1", "9 feat. Hatsune Mik", "FINISHED", "2012-01-01", "1"
"1", "D Kanojo: Real Gir", "FINISHED", "2018-04-01", "12"
"1", "D Kanojo: Real Girl (2019", "FINISHED", "2019-01-01", "12"
"1", "D Kanojo: Real Girl ", "FINISHED", "2019-01-01", "12"
"1", "D Kanojo: Real Girl 2nd Seaso", "FINISHED", "2019-01-01", "12"
"1", "D Nyanko-sensei Gekijo", "FINISHED", "2009-04-01", "5"
"1", "D Onara Gorou ga Dance Dance Dance!", "UNKNOWN", "2016-01-01", "1"
"1", "D Onara Gorou ga Dance Dance Dance!", "FINISHED", "2016-04-01", "1"
"1", "Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animatio", "FINISHED", "2015-04-01", "1"
"1", "tsu no Kum", "UNKNOWN", "2005-01-01", "1"
"1", "x3 Eye", "FINISHED", "1991-07-01", "4"
